# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
fang ge 	放歌	c=1 d=1 t=42109
fang guo 	放過	c=1 d=1 t=77540
fang guo qu 	放過去	c=1 d=1 t=173794
fang han fu 	防寒服	c=1 d=1 t=45520
fang hao 	放好	c=1 d=1 t=146702
fang hua 	防滑	c=1 d=1 t=126183
fang huan 	放緩	c=1 d=1 t=147050
fang hui 	放回	c=1 d=1 t=202594
fang huo qiang 	防火牆	c=4 d=2.90256 t=148549
fang jia 	房價	c=1 d=1 t=106180
fang jia 	放假	c=6 d=1 t=150226
fang jian 	房間	c=4 d=1 t=139746
fang jian nei 	房間內	c=1 d=1 t=69488
fang jin 	放進	c=5 d=1 t=191331
fang jun 	方君	c=61 d=1.93707 t=206246
fang jun de 	方君的	c=1 d=1 t=190591
fang ke 	訪客	c=8 d=2.66273 t=70625
fang kong 	防控	c=1 d=1 t=114708
fang kuai 	方塊	c=17 d=1 t=133113
fang lao shi 	方老師	c=224 d=1 t=205755
fang liang 	放量	c=30 d=2.0829 t=204487
fang liang dao 	放量到	c=1 d=1 t=204483
fang lv shi 	方律師	c=1 d=1 t=68885
fang mian 	方面	c=27 d=0.1 t=188391
fang mian de 	方面的	c=1 d=1 t=188392
fang piao 	房票	c=1 d=1 t=83109
fang piao 	放票	c=5 d=2.0225 t=113729
fang qi 	放棄	c=43 d=1.04894 t=206180
fang ru 	放入	c=10 d=1.956 t=177691
fang shang lai 	放上來	c=1 d=1 t=101594
fang shang qu 	放上去	c=3 d=1.83946 t=129538
fang shi 	房市	c=1 d=1 t=106150
fang shi 	方式	c=108 d=1 t=204980
fang shui 	放水	c=4 d=1 t=49498
fang song 	放鬆	c=1 d=1 t=131480
fang tan 	訪談	c=2 d=1.9802 t=120836
fang wei 	防僞	c=1 d=1 t=100073
fang wei 	防衛	c=1 d=1 t=182143
fang wen 	訪問	c=48 d=1 t=176690
fang wen liang 	訪問量	c=5 d=1 t=119913
fang wu 	房屋	c=3 d=1 t=189299
fang wu 	防霧	c=1 d=1 t=84069
fang xiang 	方向	c=28 d=1.85078 t=204315
fang xiang jian 	方向鍵	c=7 d=1 t=170854
fang xiang pan 	方向盤	c=2 d=1 t=158803
fang xiang shang 	方向上	c=2 d=1.96561 t=203614
fang xing 	放行	c=1 d=1 t=61139
fang yi 	防疫	c=2 d=1.97531 t=114722
fang yu 	防禦	c=1 d=1 t=139293
fang yuan 	房源	c=2 d=1.97531 t=77636
fang zai 	放在	c=67 d=1.0703 t=206394
fang zhe 	放着	c=1 d=1 t=69287
fang zhi 	防止	c=38 d=1 t=196784
fang zhou 	方舟	c=1 d=1 t=26091
fang zhou zi 	方舟子	c=3 d=2.45307 t=76633
fang zi 	房子	c=20 d=1 t=196444
fang zu 	房租	c=14 d=1 t=177624
fei 	廢	c=2 d=1 t=135579
fei 	斐	c=2 d=1 t=99135
fei 	肺	c=3 d=1 t=110548
fei 	菲	c=1 d=1 t=58154
fei 	費	c=111 d=1 t=200438
fei 	非	c=70 d=1.00009 t=204318
fei 	飛	c=47 d=1.01127 t=206509
fei bo 	菲薄	c=0 d=0.1 t=46652
fei bo na xi 	菲薄納西	c=2 d=1 t=135300
fei chang 	非常	c=20 d=1.01554 t=165716
fei chang di 	非常低	c=1 d=1 t=153897
fei che 	飛車	c=1 d=1 t=158398
fei diao 	廢掉	c=1 d=1 t=4464
fei dui cheng 	非對稱	c=2 d=1 t=100147
fei fa 	非法	c=3 d=1 t=136130
fei fei 	飛飛	c=1 d=1 t=160687
fei fu shu 	非負數	c=1 d=1 t=23989
fei hua 	廢話	c=1 d=1 t=107418
fei ji 	飛機	c=8 d=0.1 t=169695
fei ji bei 	飛機盃	c=1 d=1 t=49879
fei ji huo 	費激活	c=1 d=1 t=29664
fei ji qu 	飛機去	c=1 d=1 t=169696
fei jin 	費勁	c=2 d=1 t=85719
fei lai 	飛來	c=1 d=1 t=101675
fei man 	費曼	c=9 d=1 t=155928
fei niu 	肥牛	c=2 d=1 t=125519
fei qi 	廢棄	c=2 d=1 t=188004
fei su 	飛速	c=1 d=1 t=165803
fei su fei 	飛速費	c=1 d=1 t=36148
fei tian 	飛天	c=1 d=1 t=197960
fei wu 	廢物	c=2 d=1 t=106467
fei xian xing 	非線性	c=6 d=1 t=203805
fei xing 	飛行	c=1 d=1 t=158435
fei xun 	斐訊	c=1 d=1 t=58617
fei yan 	肺炎	c=8 d=1.007 t=110843
fei yao 	非要	c=2 d=1 t=114608
fei yong 	費用	c=23 d=1 t=194336
fei yong dan 	費用單	c=1 d=1 t=172897
fei zhou 	非洲	c=3 d=1.77105 t=149169
fen 	份	c=41 d=1 t=194683
fen 	分	c=76 d=1 t=205265
fen 	粉	c=3 d=1 t=146488
fen 	芬	c=1 d=1 t=139493
fen bian lv 	分辨率	c=7 d=1.0027 t=171335
fen bie 	分別	c=20 d=1 t=204255
fen bie shi 	分別是	c=3 d=1.00026 t=31824
fen bu 	分佈	c=131 d=1.00001 t=202909
fen bu shi 	分佈式	c=4 d=1 t=145225
fen bu zai 	分佈在	c=1 d=1 t=41290
fen bu zhi jian 	分佈之間	c=1 d=1 t=45030
fen ceng 	分層	c=2 d=1 t=72977
fen cheng 	分成	c=24 d=1.37719 t=197070
fen ci 	粉刺	c=1 d=1 t=193391
fen cuo 	分錯	c=1 d=1 t=24311
fen dan 	分單	c=19 d=1 t=166009
fen dan 	分擔	c=2 d=1 t=195407
fen dao 	分到	c=4 d=1 t=155519
fen dou 	奮鬥	c=4 d=1 t=204576
fen duan 	分段	c=7 d=1.00104 t=64327
fen dui 	分隊	c=1 d=1 t=68819
fen e 	份額	c=1 d=1 t=174359
fen fa 	分發	c=2 d=1 t=142675
fen fu 	吩咐	c=1 d=1 t=168826
fen ge 	分割	c=15 d=1 t=116719
fen ge fu 	分隔符	c=7 d=1 t=185962
fen hao 	分號	c=1 d=1 t=176642
fen hong 	粉紅	c=1 d=1 t=114797
fen hua 	分化	c=1 d=1 t=184199
fen jie 	分界	c=1 d=1 t=41655
fen jie 	分解	c=24 d=0.1 t=196379
fen jie cheng 	分解成	c=1 d=1 t=168103
fen jie dao 	分解到	c=1 d=1 t=196380
fen kai 	分開	c=18 d=1 t=198576
fen kuai 	分塊	c=1 d=1 t=138906
fen lan 	分欄	c=2 d=1.93239 t=187704
fen lei 	分類	c=71 d=1 t=200077
fen lei qi 	分類器	c=7 d=4.14689 t=161395
fen li 	分離	c=2 d=1 t=184889
fen li cheng 	分里程	c=1 d=1 t=202428
fen liang 	分量	c=2 d=1 t=193262
fen lie 	分裂	c=4 d=1 t=159032
fen lie dian 	分裂點	c=1 d=1 t=105936
fen mu 	分母	c=4 d=1.80252 t=180935
fen nu 	憤怒	c=3 d=1 t=192807
fen pai 	分派	c=1 d=0.1 t=75190
fen pai hang 	分派行	c=1 d=1 t=75191
fen pei 	分配	c=10 d=1 t=199373
fen pei de 	分配的	c=1 d=1 t=198224
fen pei zai 	分配在	c=1 d=1 t=195821
fen pian 	分片	c=2 d=1 t=185684
fen ping 	分屏	c=8 d=1 t=190749
fen qi 	分期	c=1 d=1 t=5826
fen qi 	分歧	c=1 d=1 t=95737
fen qing chu 	分清楚	c=1 d=1 t=89197
fen qu 	分區	c=4 d=1.94649 t=138837
fen qun 	分羣	c=1 d=1 t=189923
fen san 	分散	c=1 d=1 t=134118
fen san hua 	分散化	c=1 d=0.1 t=199288
fen san hua de 	分散化的	c=1 d=1 t=199289
fen sheng 	分省	c=2 d=1 t=111615
fen shou 	分手	c=1 d=1 t=4448
fen shu 	分數	c=6 d=1 t=196379
fen si 	粉絲	c=4 d=1 t=206258
fen tan 	分攤	c=1 d=1 t=40111
fen ti 	分體	c=1 d=1 t=182953
fen tong 	分桶	c=43 d=1.00003 t=199206
fen tou 	分頭	c=1 d=1 t=16466
fen wei 	分爲	c=2 d=1 t=37667
fen wei 	氛圍	c=1 d=1 t=51866
fen xi 	分析	c=106 d=1 t=206603
fen xi shi 	分析師	c=1 d=1 t=114735
fen xiang 	分享	c=116 d=1 t=205424
fen xiang de 	分享的	c=2 d=1.01405 t=171151
fen xiao shi 	分小時	c=14 d=1.13136 t=200234
fen xin 	分心	c=1 d=1 t=110697
fen ye 	分頁	c=1 d=1 t=109684
fen yi xia 	分一下	c=1 d=1 t=158466
fen yue 	奮越	c=1 d=1 t=44240
fen zhi 	分支	c=32 d=1.00104 t=205269
fen zhi shang 	分支上	c=1 d=1 t=201934
fen zhong 	分鐘	c=129 d=1.9681 t=206042
fen zhong de 	分鐘的	c=1 d=1 t=191134
fen zhong ji bie 	分鐘級別	c=1 d=1 t=141339
fen zi 	份子	c=1 d=1 t=115041
fen zi 	分子	c=3 d=1.80252 t=180932
fen zu 	分組	c=31 d=1.0015 t=202991
fen zu nei 	分組內	c=1 d=1 t=190357
fen zu xia 	分組下	c=1 d=1 t=187104
feng 	封	c=15 d=1 t=175324
feng 	峯	c=31 d=1 t=205249
feng 	瘋	c=9 d=1.08501 t=176010
feng 	蜂	c=1 d=0.1 t=195232
feng 	豐	c=5 d=1 t=202289
feng 	風	c=8 d=1 t=182680
feng 	馮	c=2 d=1 t=141919
feng 	鳳	c=2 d=1 t=172326
feng bao 	風暴	c=6 d=2.61402 t=106650
feng bi 	封閉	c=1 d=1 t=102915
feng bo 	風波	c=1 d=1 t=16158
feng chao 	鳳巢	c=2 d=1 t=145741
feng du 	風度	c=1 d=1 t=9211
feng fan 	風範	c=1 d=1 t=43255
feng fu 	豐富	c=5 d=1.00003 t=165738
feng fu xing 	豐富性	c=1 d=1 t=70958
feng ge 	風格	c=12 d=1 t=195546
feng jin 	封禁	c=1 d=1 t=10753
feng kuang 	瘋狂	c=15 d=1.06329 t=157454
feng man 	豐滿	c=1 d=1.52642e-05 t=4073
feng mian 	封面	c=2 d=1 t=110218
feng ming 	蜂鳴	c=3 d=2.02117 t=68002
feng qi 	風氣	c=1 d=1 t=184023
feng sao 	風騷	c=2 d=1 t=183332
feng sha 	封殺	c=1 d=1 t=69963
feng shan 	風扇	c=1 d=1 t=85064
feng shui 	風水	c=1 d=1 t=6763
feng su 	風俗	c=2 d=1.99005 t=45454
feng suo 	封鎖	c=1 d=0.1 t=114809
feng suo zai 	封鎖在	c=1 d=1 t=114810
feng xian 	奉獻	c=1 d=1 t=97305
feng xian 	風險	c=16 d=1 t=200693
feng yue 	風月	c=1 d=1 t=18781
feng yun 	風雲	c=3 d=1.04036 t=106646
feng zhi 	峯值	c=1 d=1 t=192399
fo 	佛	c=2 d=1 t=206170
fo ru 	佛如	c=2 d=1 t=204373
fo shan 	佛山	c=12 d=1 t=179583
fo xi 	佛曦	c=1 d=1 t=66819
fou 	否	c=6 d=1 t=204165
fou shi 	否是	c=2 d=1 t=168138
fou ze 	否則	c=4 d=1 t=103448
fu 	付	c=12 d=1 t=188777
fu 	副	c=3 d=1 t=201329
fu 	夫	c=4 d=1 t=188779
fu 	婦	c=1 d=1 t=79805
fu 	幅	c=1 d=1 t=112910
fu 	府	c=7 d=1 t=181855
fu 	撫	c=1 d=1 t=175146
fu 	服	c=12 d=1.11499 t=184096
fu 	氟	c=1 d=1 t=117575
fu 	父	c=3 d=1 t=151098
fu 	福	c=2 d=1 t=110943
fu 	覆	c=20 d=1.00068 t=197109
fu 	負	c=25 d=1.97048 t=204319
fu bai 	腐敗	c=2 d=1 t=96036
fu ben 	副本	c=1 d=1 t=110874
fu bu fu he 	符不符合	c=4 d=1 t=198832
fu cai yang 	負採樣	c=9 d=1 t=161114
fu chan pin 	副產品	c=1 d=1 t=77652
fu chu 	付出	c=2 d=1 t=168593
fu ci 	副詞	c=1 d=1 t=169876
fu cong 	服從	c=2 d=1 t=10690
fu da 	福大	c=1 d=1 t=53076
fu dai 	附帶	c=1 d=1 t=152466
fu dan 	復旦	c=2 d=1 t=86584
fu dan 	負擔	c=1 d=1 t=89990
fu dao 	福島	c=1 d=1 t=107817
fu dian 	浮點	c=4 d=1 t=44868
fu dian shu 	浮點數	c=3 d=1 t=182882
fu dong 	浮動	c=2 d=1 t=202431
fu du 	幅度	c=2 d=1 t=166683
fu er 	福爾	c=1 d=1 t=101983
fu er dai 	富二代	c=1 d=1 t=95915
fu fei 	付費	c=18 d=1 t=195577
fu fei hou 	付費後	c=1 d=1 t=165143
fu fu 	夫婦	c=1 d=1 t=95579
fu gai 	覆蓋	c=28 d=1.37158 t=193546
fu gai hou 	覆蓋後	c=1 d=1 t=72356
fu gai lv 	覆蓋率	c=33 d=1.57121 t=192554
fu gui 	富貴	c=1 d=1 t=84373
fu guo 	復國	c=1 d=1 t=75274
fu hao 	符號	c=17 d=3.47034 t=176701
fu hao 	負號	c=1 d=1 t=78388
fu he 	符合	c=44 d=1 t=202929
fu huo jie 	復活節	c=6 d=1.31506 t=143956
fu jia 	附加	c=22 d=1.99501 t=200437
fu jia fei 	附加費	c=50 d=1 t=205704
fu jin 	附近	c=17 d=1 t=199015
fu kuan 	付款	c=2 d=1 t=87002
fu lao 	父老	c=3 d=1 t=201159
fu li 	福利	c=4 d=1 t=198873
fu li 	複利	c=2 d=1.84366 t=189783
fu li ye 	傅里葉	c=1 d=1 t=163735
fu me 	負麼	c=1 d=1 t=32241
fu mian 	負面	c=1 d=1 t=147395
fu mu 	父母	c=4 d=1 t=202202
fu pan 	覆盤	c=2 d=1 t=163979
fu pin 	扶貧	c=1 d=1 t=119779
fu qi 	夫妻	c=1 d=1 t=69119
fu qian 	付錢	c=5 d=1.97531 t=165369
fu ren 	夫人	c=2 d=1 t=182667
fu shan 	福山	c=1 d=1 t=103108
fu shi hui 	浮世繪	c=1 d=1 t=5409
fu shu 	複述	c=1 d=1 t=183261
fu shu 	負數	c=2 d=1 t=196671
fu wei 	復位	c=2 d=1.92774 t=35886
fu wu 	服務	c=62 d=1 t=201596
fu wu qi 	服務器	c=55 d=1.00154 t=202933
fu wu shi 	服務是	c=1 d=1 t=46687
fu xi 	複習	c=5 d=1 t=174739
fu xian 	復現	c=9 d=0.1 t=196684
fu xian chu 	復現出	c=1 d=1 t=196685
fu xiang 	負向	c=10 d=1.05029 t=202673
fu xiao zhang 	副校長	c=1 d=1 t=143204
fu xin 	復新	c=1 d=1 t=6947
fu xing 	復興	c=2 d=1.9802 t=176028
fu yang ben 	負樣本	c=6 d=1 t=153737
fu ye 	副業	c=1 d=1 t=39833
fu yin 	複印	c=1 d=1 t=203920
fu yong 	復用	c=5 d=1 t=135327
fu yong 	服用	c=1 d=1 t=104114
fu yu 	賦予	c=2 d=1.0002 t=88818
fu za 	複雜	c=53 d=1 t=205792
fu za du 	複雜度	c=30 d=1 t=200689
fu zai 	負載	c=1 d=1 t=176461
fu zao 	浮躁	c=0 d=0.1 t=149481
fu zao de 	浮躁的	c=1 d=1 t=149482
fu ze 	負責	c=18 d=1 t=197601
fu ze ren 	負責人	c=6 d=1 t=178920
fu zhai 	負債	c=1 d=1 t=110409
fu zhi 	福祉	c=3 d=1.99069 t=147829
fu zhi 	複製	c=40 d=0.1 t=202177
fu zhi 	賦值	c=1 d=1 t=34056
fu zhi dao 	複製到	c=2 d=1 t=197834
fu zhong 	負重	c=2 d=0.1 t=200090
fu zhong qian xing 	負重前行	c=1 d=1 t=200091
fu zhou 	福州	c=10 d=1.67725 t=202666
fu zhu 	輔助	c=10 d=1 t=192678
fu zhu xue xi 	輔助學習	c=1 d=1 t=166702
fu zhuang 	服裝	c=2 d=1 t=143726
fu zong cai 	副總裁	c=1 d=1 t=82553
fu zong tong 	副總統	c=1 d=1 t=123240
fu zu 	富足	c=1 d=1 t=181723
ga liao 	尬聊	c=1 d=1 t=206115
gai 	改	c=228 d=1.00002 t=205504
gai 	概	c=1 d=1 t=134246
gai 	蓋	c=7 d=1.00001 t=114665
gai 	該	c=17 d=1 t=183697
gai bian 	改編	c=2 d=1.90484 t=85399
gai bian 	改變	c=54 d=1.00051 t=206370
gai bu gai 	該不該	c=1 d=1 t=133929
gai cheng 	改成	c=91 d=1 t=206018
gai cheng 	改稱	c=1 d=1 t=171846
gai ci 	蓋茨	c=4 d=1 t=95578
gai ci bi 	蓋茨比	c=1 d=1 t=95572
gai da 	該大	c=1 d=1 t=77824
gai dao 	改到	c=2 d=1.01729 t=167383
gai de 	改得	c=2 d=1 t=141671
gai dong 	改動	c=1 d=0.1 t=135413
gai gai 	改改	c=2 d=1 t=79153
gai ge 	改個	c=1 d=1 t=145348
gai guo 	改過	c=1 d=1 t=203078
gai hao 	改好	c=8 d=0.1 t=180050
gai hao de 	改好的	c=1 d=1 t=167292
gai hui 	改回	c=1 d=1 t=153071
gai hui lai 	改回來	c=0 d=0.1 t=175059
gai jin 	改進	c=26 d=1.00041 t=193766
gai jin hou 	改進後	c=3 d=1 t=168186
gai kuo 	概括	c=2 d=1 t=197847
gai lan 	概覽	c=4 d=3.90264 t=175426
gai li 	改隸	c=1 d=1 t=10549
gai liang 	改良	c=1 d=0.000365224 t=4073
gai lv 	概率	c=98 d=1.97049 t=201875
gai lv lun 	概率論	c=1 d=1 t=131439
gai ma 	改嗎	c=1 d=1 t=24165
gai ming 	改名	c=2 d=1 t=101021
gai nian 	概念	c=20 d=1 t=205024
gai nian shi 	概念史	c=1 d=1 t=103379
gai qi lai 	改起來	c=4 d=1 t=189003
gai qian 	改簽	c=1 d=1 t=94513
gai shan 	改善	c=1 d=1 t=82058
gai shi 	該市	c=1 d=1 t=90748
gai shu 	概述	c=2 d=1 t=183427
gai wan 	改完	c=5 d=1 t=180324
gai xiao 	改小	c=1 d=1 t=41088
gai yi xia 	改一下	c=3 d=1 t=173400
gai yong 	改用	c=1 d=1 t=74120
gai zao 	改造	c=58 d=1 t=193653
gai zao de 	改造的	c=1 d=1 t=148075
gai zao ta men 	改造他們	c=1 d=1 t=158750
gai zheng 	改正	c=1 d=0.1 t=155367
gai zheng hou 	改正後	c=1 d=1 t=155368
gan 	幹	c=92 d=1.00325 t=206148
gan 	感	c=27 d=1.00003 t=196764
gan 	敢	c=4 d=1 t=195463
gan 	肝	c=4 d=1 t=143951
gan 	贛	c=1 d=1 t=44526
gan 	趕	c=1 d=1 t=136856
gan cheng gong 	幹成功	c=1 d=1 t=190502
gan chu 	感觸	c=1 d=1 t=164767
gan cui 	乾脆	c=9 d=1 t=205055
gan dao 	幹到	c=1 d=1 t=183357
gan dao 	感到	c=1 d=1 t=13188
gan de 	乾的	c=5 d=1 t=165486
gan dian 	幹點	c=2 d=1 t=183639
gan diao 	幹掉	c=1 d=1 t=187169
gan dong 	感動	c=15 d=1.01813 t=196343
gan en 	感恩	c=2 d=1 t=164768
gan ga 	尷尬	c=12 d=1 t=191258
gan guo 	幹過	c=5 d=1 t=109091
gan hao 	幹好	c=1 d=1 t=81947
gan hua 	感化	c=1 d=1 t=199725
gan huo 	幹活	c=9 d=1 t=195608
gan ji 	感激	c=1 d=1 t=95733
gan jie 	敢接	c=3 d=1 t=95466
gan jing 	乾淨	c=1 d=1 t=110410
gan jue 	乾倔	c=1 d=1 t=191136
gan jue 	感覺	c=298 d=1.59753 t=206418
gan jue dao 	感覺到	c=1 d=1 t=88836
gan kai 	感慨	c=1 d=1 t=194654
gan lan qiu 	橄欖球	c=1 d=1 t=100407
gan mao 	感冒	c=1 d=1 t=205270
gan mao yao 	感冒藥	c=1 d=1 t=100818
gan nu 	敢怒	c=2 d=1 t=35039
gan qing 	感情	c=3 d=1.75636 t=134188
gan ran 	感染	c=1 d=1 t=114043
gan rao 	干擾	c=3 d=1 t=88638
gan ren 	感人	c=1 d=1 t=108561
gan shang 	趕上	c=4 d=1 t=40429
gan shen me 	幹什麼	c=33 d=1 t=199662
gan shou 	感受	c=13 d=1 t=196897
gan shou dao 	感受到	c=3 d=1 t=192805
gan su 	甘肅	c=1 d=1 t=75065
gan tan 	感嘆	c=2 d=1 t=190434
gan wan 	幹完	c=2 d=1 t=166187
gan wei 	敢爲	c=1 d=1 t=97482
gan wen 	敢問	c=0 d=0.1 t=12297
gan wu 	感悟	c=5 d=1 t=155782
gan xie 	感謝	c=83 d=1 t=205194
gan xin 	甘心	c=1 d=1 t=175073
gan xing 	感性	c=1 d=1 t=10654
gan xing qu 	感興趣	c=2 d=1 t=132146
gan ying 	感應	c=1 d=1 t=55582
gan yu 	干預	c=4 d=1 t=204610
gan zai 	趕在	c=1 d=1 t=144710
gan zao 	乾燥	c=1 d=1 t=7446
gan zhao ji 	乾着急	c=1 d=1 t=187551
gan zhi 	感知	c=10 d=1 t=196289
gang 	剛	c=37 d=1 t=205993
gang 	崗	c=4 d=1 t=134661
gang 	鋼	c=2 d=1 t=59276
gang bi 	港幣	c=1 d=1 t=33023
gang cai 	剛纔	c=98 d=1.32973 t=206295
gang dao 	剛到	c=1 d=1 t=20671
gang gan 	槓桿	c=3 d=1 t=145941
gang gang 	剛剛	c=1 d=1 t=150935
gang ge 	剛格	c=1 d=1 t=67287
gang gu 	港股	c=0 d=0.1 t=90619
gang gu tong 	港股通	c=1 d=1 t=90620
gang hao 	剛好	c=13 d=1 t=177622
gang kai shi 	剛開始	c=2 d=1 t=182427
gang kan 	剛看	c=2 d=1 t=131430
gang kan wan 	剛看完	c=1 d=1 t=171342
gang lai 	剛來	c=1 d=1 t=142956
gang ru men 	剛入門	c=1 d=1 t=50848
gang si 	鋼絲	c=0 d=0.1 t=42640
gang si jie 	鋼絲節	c=3 d=1.18627 t=43532
gang tie 	鋼鐵	c=1 d=1 t=142935
gang wei 	崗位	c=13 d=1 t=204508
gang xia 	剛下	c=1 d=1 t=57136
gang xia ban 	剛下班	c=1 d=1 t=178942
gang xiang 	剛想	c=1 d=1 t=184502
gang xing 	剛性	c=1 d=1 t=147048
gang xu 	剛需	c=6 d=1.99501 t=183025
gang zai 	剛在	c=4 d=1.0061 t=196970
gao 	告	c=1 d=1 t=15502
gao 	搞	c=239 d=1.00097 t=205881
gao 	稿	c=6 d=1.0367 t=142117
gao 	郜	c=18 d=1 t=169620
gao 	高	c=158 d=1.00108 t=206268
gao ao 	高傲	c=1 d=1 t=143912
gao ba 	搞吧	c=1 d=1 t=175143
gao bie 	告別	c=1 d=1 t=148338
gao bu chu 	搞不出	c=1 d=1 t=30170
gao ceng 	高層	c=3 d=1 t=196530
gao cheng 	搞成	c=1 d=1 t=41689
gao chu 	搞出	c=7 d=1 t=194625
gao chu de 	搞出的	c=1 d=1 t=171146
gao cuo 	搞錯	c=5 d=0.1 t=166504
gao cuo le 	搞錯了	c=1 d=1 t=166505
gao da 	高達	c=3 d=1 t=90366
gao dao 	搞到	c=4 d=1 t=180111
gao de 	搞得	c=10 d=1 t=205970
gao de 	高德	c=57 d=1.31037 t=205422
gao di 	高低	c=1 d=1 t=193549
gao di gu 	高低估	c=2 d=1 t=149356
gao dian 	搞點	c=1 d=1 t=82635
gao ding 	搞定	c=14 d=1.99501 t=182301
gao dong 	搞懂	c=3 d=1 t=162954
gao du 	高度	c=6 d=1.00211 t=195593
gao duan 	高端	c=1 d=1 t=139421
gao e 	高鶚	c=1 d=1 t=175027
gao er fu 	高爾夫	c=1 d=1 t=40465
gao fei 	郜飛	c=3 d=1 t=195363
gao feng 	高峯	c=15 d=1.00005 t=202760
gao feng de 	高峯的	c=1 d=1 t=172987
gao feng qi 	高峯期	c=1 d=1 t=197614
gao ge 	搞個	c=4 d=1 t=132515
gao gen xie 	高跟鞋	c=1 d=1 t=154667
gao gu 	高估	c=58 d=1.00001 t=205420
gao guan 	高管	c=2 d=1 t=188450
gao guo 	搞過	c=3 d=1 t=118798
gao hao 	搞好	c=5 d=1 t=193469
gao ji 	高級	c=14 d=1 t=201251
gao ji bie 	高級別	c=3 d=1.99005 t=97273
gao ji de 	高級的	c=0 d=0.1 t=156197
gao ji dian 	高級點	c=1 d=1 t=136294
gao ji suan fa 	高級算法	c=1 d=1 t=189723
gao jia 	高價	c=2 d=1 t=192170
gao jie 	高階	c=11 d=1 t=161302
gao kao 	高考	c=5 d=1 t=151433
gao liang 	高亮	c=22 d=1 t=203393
gao ming bai 	搞明白	c=1 d=1 t=154538
gao pin 	高頻	c=1 d=1 t=170846
gao qi lai 	搞起來	c=2 d=1 t=164884
gao qiang du 	高強度	c=3 d=1 t=150390
gao qing 	高清	c=3 d=1.99501 t=144105
gao shang 	搞上	c=2 d=1 t=122845
gao sheng 	高盛	c=2 d=1 t=191674
gao shou 	高手	c=1 d=1 t=154614
gao si 	高斯	c=8 d=1 t=199009
gao su 	告訴	c=31 d=1 t=203880
gao su 	高速	c=108 d=1 t=190635
gao su fei 	高速費	c=448 d=1.71792 t=205703
gao su lu duan 	高速路段	c=1 d=1 t=39447
gao su ta 	告訴他	c=1 d=1 t=143347
gao su wo 	告訴我	c=4 d=1 t=142316
gao tie 	高鐵	c=6 d=1 t=169698
gao wan 	搞完	c=3 d=0.100001 t=195682
gao wan zhe ge 	搞完這個	c=1 d=1 t=195683
gao wei 	高維	c=4 d=1 t=160999
gao xia qu 	搞下去	c=1 d=1 t=167751
gao xiao 	搞笑	c=3 d=1 t=156305
gao xiao 	高效	c=19 d=1 t=183482
gao xiao 	高校	c=1 d=1 t=26658
gao xing 	高興	c=8 d=1 t=136004
gao yi dian 	高一點	c=1 d=1 t=66293
gao yu 	高於	c=3 d=1 t=176396
gao yuan 	高原	c=1 d=1 t=48988
gao zhi 	告知	c=5 d=1 t=205334
gao zhi liang 	高質量	c=3 d=1 t=125396
gao zhi shu 	告知書	c=1 d=1 t=115031
gao zhi xin du 	高置信度	c=1 d=1 t=137217
gao zhong 	高中	c=8 d=1 t=169825
gao zuo 	高坐	c=1 d=1 t=179017
ge 	個	c=417 d=1.97045 t=206556
ge 	割	c=5 d=1 t=169805
ge 	各	c=12 d=1.00001 t=202047
ge 	哥	c=200 d=1.97046 t=204735
ge 	戈	c=1 d=1 t=118833
ge 	格	c=7 d=1 t=160022
ge 	歌	c=3 d=1 t=137921
ge 	隔	c=3 d=1 t=132958
ge 	革	c=1 d=1 t=99022
ge ceng 	各層	c=1 d=1 t=25808
ge da 	各大	c=1 d=1 t=10112
ge da 	哥大	c=1 d=1 t=83734
ge dan 	歌單	c=1 d=1 t=4083
ge de er 	哥德爾	c=4 d=1 t=151326
ge ding 	個丁	c=1 d=1 t=37399
ge duan 	各段	c=2 d=1 t=79351
ge ge 	各個	c=15 d=1.00002 t=202429
ge ge 	哥哥	c=3 d=1.97531 t=205362
ge ge fang mian 	各個方面	c=1 d=1 t=96445
ge kai 	隔開	c=1 d=1 t=21262
ge li 	個例	c=1 d=1 t=51788
ge li 	隔離	c=39 d=1 t=201769
ge lie 	割裂	c=1 d=1 t=206416
ge lin 	格林	c=1 d=1 t=71675
ge lin ni zhi 	格林尼治	c=1 d=1 t=71676
ge ni 	格尼	c=1 d=1 t=31805
ge qian 	擱淺	c=1 d=1 t=76452
ge qu 	歌曲	c=1 d=1 t=36260
ge ren 	個人	c=98 d=1.01423 t=201045
ge shi 	格式	c=162 d=1.0028 t=201913
ge shi de 	格式的	c=1 d=1 t=144455
ge shi hua 	格式化	c=10 d=1 t=199732
ge shi jian 	個時間	c=1 d=1 t=162922
ge shu 	個數	c=1 d=1 t=138721
ge shui 	個稅	c=2 d=1 t=142282
ge ti 	個體	c=1 d=1 t=114418
ge tian 	隔天	c=2 d=1.93707 t=71811
ge tiao 	各條	c=3 d=2.73086 t=83806
ge wei 	各位	c=3 d=1 t=140204
ge xiang 	各項	c=4 d=1 t=200412
ge xiao shi 	個小時	c=2 d=1 t=105945
ge xing 	個性	c=2 d=1 t=104791
ge xing hua 	個性化	c=3 d=1 t=101351
ge xing qi 	個星期	c=1 d=1 t=193171
ge yang 	各樣	c=1 d=1 t=48436
